user_id,n_back,accuracy,average_response_time,hits,misses,total_matches,case_sensitive
123,1,70.00,0.430,7,3,10,No
123,1,100.00,0.460,10,0,10,No
123,1,90.00,0.366,9,1,10,No
123,1,90.00,0.405,9,1,10,No
tmp,1,70.00,0.390,7,3,10,No
tmp,1,80.00,0.396,8,2,10,No
tmp,1,100.00,0.382,10,0,10,No
tmp,1,70.00,0.426,7,3,10,No
123,1,26.67,0.480,4,11,15,No
polly1,1,46.67,0.469,7,8,15,No
polly1,1,46.67,0.413,7,8,15,No
polly2,1,93.33,0.411,14,1,15,No
polly3,1,66.67,0.448,10,5,15,No
polly4,1,93.33,0.484,14,1,15,No
heilios0,1,80.00,0.399,12,3,15,No
heilios0.1,1,46.67,0.492,7,8,15,No
heilios0.2,2,33.33,0.490,5,10,15,No
heilios1,2,46.67,0.430,7,8,15,No
heilios_2,1,53.33,0.374,8,7,15,No
heilios_2,1,100.00,0.405,15,0,15,No
heilios_2,1,100.00,0.410,15,0,15,No
heilios_2,1,86.67,0.368,13,2,15,No
NKKN0,1,53.33,0.435,8,7,15,No
NKKN0,1,73.33,0.459,11,4,15,No
NKKN1,1,100.00,0.415,15,0,15,No
NKKN2,1,100.00,0.424,15,0,15,No
NKKN3,1,100.00,0.402,15,0,15,No
NKKN4,1,53.33,0.382,8,7,15,No
1,50.00,0.369
